GEOID,NAME,total_population,total_poverty,percent_poverty
01073013100,"Census Tract 131, Jefferson County, Alabama",4753,1749,0.36797811908268463
01073013801,"Census Tract 138.01, Jefferson County, Alabama",1941,811,0.41782586295723856
01077010200,"Census Tract 102, Lauderdale County, Alabama",1887,766,0.4059353471118177
01077010300,"Census Tract 103, Lauderdale County, Alabama",1080,483,0.44722222222222224
01077010600,"Census Tract 106, Lauderdale County, Alabama",3263,1276,0.3910511798958014
01077010700,"Census Tract 107, Lauderdale County, Alabama",2095,984,0.46968973747016707
01081040400,"Census Tract 404, Lee County, Alabama",7300,2732,0.37424657534246575
01081040604,"Census Tract 406.04, Lee County, Alabama",5529,3317,0.5999276541870139
01081040800,"Census Tract 408, Lee County, Alabama",3310,2485,0.7507552870090635
01081041400,"Census Tract 414, Lee County, Alabama",3663,1471,0.40158340158340156
01085781100,"Census Tract 7811, Lowndes County, Alabama",1611,733,0.4549968963376785
01089000201,"Census Tract 2.01, Madison County, Alabama",1059,447,0.42209631728045327
01089000701,"Census Tract 7.01, Madison County, Alabama",3126,1154,0.3691618682021753
01089001200,"Census Tract 12, Madison County, Alabama",3120,2115,0.6778846153846154
01089001301,"Census Tract 13.01, Madison County, Alabama",3292,1160,0.35236938031591736
01089002100,"Census Tract 21, Madison County, Alabama",3278,1800,0.5491153142159854
01089002300,"Census Tract 23, Madison County, Alabama",5160,2169,0.42034883720930233
01089002501,"Census Tract 25.01, Madison County, Alabama",3515,1830,0.5206258890469416
01089002502,"Census Tract 25.02, Madison County, Alabama",2561,1134,0.44279578289730576
01089003000,"Census Tract 30, Madison County, Alabama",2669,983,0.3683027351067816
01091972900,"Census Tract 9729, Marengo County, Alabama",4529,1828,0.4036211084124531
01095030802,"Census Tract 308.02, Marshall County, Alabama",7621,2913,0.382233302716179
